country_clean,case_number,year,mining_case,economy_classification
Romania,ARB/20/35,2020,No,Developed
China,ARB/20/34,2020,No,Developing
Czechia,ARB/20/33,2020,No,Developed
Turkmenistan,ARB/20/32,2020,No,Developing
Poland,ADHOC/15/1,2015,No,Developed
Panama,ARB/20/31,2020,No,Developing
Costa Rica,ARB(AF)/20/2,2020,No,Developing
Denmark,ARB/20/30,2020,No,Developed
Switzerland,ARB/20/29,2020,No,Developed
Georgia,ARB/20/28,2020,No,Developing
Papua New Guinea,ARB/20/27,2020,Yes,Developing
South Korea,ARB/20/26,2020,No,Developed
"Tanzania, United Republic Of",ARB/20/25,2020,Yes,Developing
Benin,ARB/20/24,2020,No,Developing
Papua New Guinea,CONC/20/1,2020,Yes,Developing
Mexico,ARB/20/23,2020,No,Developing
Mexico,UNCT/20/2,2020,No,Developing
China,ARB/20/22,2020,No,Developing
Iraq,ARB/20/21,2020,No,Developing
Azerbaijan,ARB/20/20,2020,Yes,Developing
Panama,ARB/20/19,2020,No,Developing
Peru,ARB/20/18,2020,No,Developing
Mexico,UNCT/20/1,2019,Yes,Developing
Zambia,ARB/20/17,2020,Yes,Developing
Colombia,ARB/20/16,2020,No,Developing
Romania,ARB/20/15,2020,No,Developed
Peru,ARB/20/14,2020,Yes,Developing
Canada,UNCT/20/3,2019,Yes,Developed
Mexico,ARB/20/13,2020,No,Developing
Serbia,ARB/20/12,2020,No,Developed
Dominican Republic,ARB(AF)/20/1,2020,Yes,Developing
Norway,ARB/20/11,2020,No,Developed
Panama,ARB/20/10,2020,No,Developing
Colombia,ARB/20/9,2020,Yes,Developing
Peru,ARB/20/8,2020,Yes,Developing
Colombia,ARB/20/7,2020,No,Developing
Croatia,ARB/20/6,2020,No,Developed
Georgia,ARB/20/5,2020,No,Developing
Peru,ARB/20/4,2020,Yes,Developing
Italy,ARB/20/3,2020,No,Developed
Cameroon,ARB/20/2,2020,No,Developing
Algeria,ARB/20/1,2020,No,Developing
Croatia,ARB/19/35,2019,No,Developed
Colombia,ARB/19/34,2019,Yes,Developing
Croatia,ARB/19/33,2019,No,Developed
Saudi Arabia,ARB/19/32,2019,No,Developing
Sierra Leone,ARB/19/31,2019,Yes,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/19/3,2019,Yes,Developing
Spain,ARB/19/30,2019,No,Developed
Germany,ARB/19/29,2019,No,Developed
Peru,ARB/19/28,2019,No,Developing
Egypt,ARB/19/27,2019,Yes,Developing
Mexico,ARB/19/26,2019,No,Developing
Argentina,ARB/19/25,2019,No,Developing
Congo,ARB/19/24,2019,No,Developing
Spain,ARB/19/23,2019,No,Developed
"Venezuela, Bolivarian Republic Of",ARB(AF)/19/2,2019,No,Developing
Colombia,ARB/19/22,2019,No,Developing
Romania,ARB/19/21,2019,Yes,Developed
Kuwait,ARB/19/20,2019,No,Developing
Peru,ARB/19/19,2019,No,Developing
Bangladesh,ARB/19/18,2019,Yes,Developing
"Tanzania, United Republic Of",ARB/19/17,2019,No,Developing
Cameroon,CONC/19/1,2019,No,Developing
Uruguay,ARB/19/16,2019,No,Developing
Nepal,ARB/19/15,2019,No,Developing
Morocco,ARB/19/14,2019,No,Developing
Costa Rica,ARB/19/13,2019,No,Developing
Serbia,ARB/19/12,2019,Yes,Developed
Argentina,ARB/19/11,2019,No,Developing
United Arab Emirates,ARB/19/10,2019,No,Developing
North Macedonia,ARB/19/9,2019,Yes,Developed
