,caseid,caseno,claimant,isapproved,respondent,status,isapproved,dateregistered,isapproved,country_clean,country_iso3,extraction_method,registration_year,registration_month,registration_day,miningcase
36,37,ARB/25/45,"Yaacov Afik, Michael Mistriel Aykout and Shimon Mistriel Aykout",Y,Republic of Cyprus,Pending,Y,2025-10-06 00:00:00,Y,Cyprus,CYP,pycountry,2025,10,6,No
39,40,ARB/25/42,PanAfrican Energy Corporation,Y,United Republic of Tanzania ,Pending,Y,2025-08-28 00:00:00,Y,"Tanzania, United Republic of",TZA,pycountry,2025,8,28,Yes
40,41,ARB/25/41,Enwell Energy plc,Y,Ukraine,Pending,Y,2025-08-22 00:00:00,Y,Ukraine,UKR,pycountry,2025,8,22,Yes
41,42,ARB/25/40,Buried Hill Serdar Limited,Y,Turkmenistan,Pending,Y,2025-08-12 00:00:00,Y,Turkmenistan,TKM,pycountry,2025,8,12,Yes
42,43,ARB/25/39,Juan Carlos Argüello and Ernesto Argüello,Y,Republic of Panama,Pending,Y,2025-08-11 00:00:00,Y,Panama,PAN,pycountry,2025,8,11,No
43,44,ARB/25/38,Smart Energy B.V. and PJSC Ukrgazvydobutok,Y,Ukraine,Pending,Y,2025-08-11 00:00:00,Y,Ukraine,UKR,pycountry,2025,8,11,Yes
44,45,ARB/25/37,Woodhouse Investment Pte Ltd and West Cumbria Mining (Holdings) Limited,Y,United Kingdom,Pending,Y,2025-08-08 00:00:00,Y,United Kingdom,GBR,pycountry,2025,8,8,Yes
45,46,ARB/25/36,Tara Resources AG,Y,Montenegro,Pending,Y,2025-08-05 00:00:00,Y,Montenegro,MNE,pycountry,2025,8,5,Yes
46,47,ARB/25/35,"Asesores Financieros Andalucía Occidental, Sociedad Gestora de Patrimonios S.A.",Y,Oriental Republic of Uruguay,Pending,Y,2025-07-29 00:00:00,Y,Uruguay,URY,embedded_pycountry,2025,7,29,No
47,48,ARB/25/34,ArcelorMittal S.A.,Y,Italian Republic,Pending,Y,2025-07-25 00:00:00,Y,Italy,ITA,pycountry,2025,7,25,No
48,49,ARB/25/33,Gestion Bayonne Inc. and 9048-4957 Québec Inc.,Y,Republic of Costa Rica,Pending,Y,2025-07-14 00:00:00,Y,Costa Rica,CRI,pycountry,2025,7,14,No
49,50,ARB/25/32,Allianz SE,Y,United Mexican States,Concluded,Y,2025-07-03 00:00:00,Y,Mexico,MEX,pycountry,2025,7,3,No
50,51,ARB/25/31,"Mota-Engil Engenharía e Construção, S.A.",Y,Republic of Paraguay,Pending,Y,2025-07-01 00:00:00,Y,Paraguay,PRY,pycountry,2025,7,1,No
51,52,ARB/25/30,Estate of Ian Colin Orr-Ewing and others,Y,United Mexican States,Pending,Y,2025-06-27 00:00:00,Y,Mexico,MEX,pycountry,2025,6,27,Yes
52,54,ARB/25/29,"FCC Construcción, S.A.",Y,Republic of Panama,Pending,Y,2025-06-20 00:00:00,Y,Panama,PAN,pycountry,2025,6,20,No
53,55,ARB/25/28,AEROC Investment Deutschland GmbH,Y,Ukraine,Pending,Y,2025-06-18 00:00:00,Y,Ukraine,UKR,pycountry,2025,6,18,No
54,56,ARB(AF)/25/5,Libyan Arab Foreign Investment Company,Y,Kingdom of Belgium ,Concluded,Y,2025-06-18 00:00:00,Y,Belgium,BEL,pycountry,2025,6,18,No
55,57,ARB/25/27,Eka Tjandranegara,Y,Malaysia,Pending,Y,2025-06-10 00:00:00,Y,Malaysia,MYS,pycountry,2025,6,10,No
56,58,ARB/25/26,Samvel Karapetyan,Y,French Republic ,Pending,Y,2025-06-04 00:00:00,Y,France,FRA,pycountry,2025,6,4,No
57,59,ARB/25/25,Park Avenue Capital LLC,Y,Republic of Moldova ,Pending,Y,2025-05-30 00:00:00,Y,"Moldova, Republic of",MDA,pycountry,2025,5,30,No
58,60,ARB/25/24,Humans Mobile Ltd.,Y,Republic of Uzbekistan,Pending,Y,2025-05-30 00:00:00,Y,Uzbekistan,UZB,pycountry,2025,5,30,No
59,61,ARB/25/23,Woodside Energy (Sénégal) B.V.,Y,Republic of Senegal,Pending,Y,2025-05-30 00:00:00,Y,Senegal,SEN,pycountry,2025,5,30,Yes
60,62,ARB/25/22,Khemisset UK Limited and Potasse de Khemisset S.A.,Y,Kingdom of Morocco,Pending,Y,2025-05-23 00:00:00,Y,Morocco,MAR,pycountry,2025,5,23,Yes
61,63,ARB/25/21,ETA Star International LLC,Y,Republic of Angola,Pending,Y,2025-05-19 00:00:00,Y,Angola,AGO,pycountry,2025,5,19,No
62,64,ARB(AF)/25/4,Overseas Real Estate LLC,Y,Republic of Honduras ,Pending,Y,2025-05-15 00:00:00,Y,Honduras,HND,pycountry,2025,5,15,No
63,65,ARB/25/20,Korea Mine Rehabilitation & Mineral Resources Corporation,Y,Republic of Panama,Pending,Y,2025-05-09 00:00:00,Y,Panama,PAN,pycountry,2025,5,9,Yes
