,caseid,caseno,claimant,isapproved,respondent,status,isapproved,dateregistered,isapproved,country_clean,country_iso3,extraction_method,registration_year,registration_month,registration_day,miningcase
151,155,ARB(AF)/23/1,Klesch Group Holdings Limited & others,Y,European Union,Pending,Y,2023-10-24 00:00:00,Y,European Union,,alias,2023,10,24,Yes
152,156,ARB/23/49,Klesch Group Holdings Limited and Raffinerie Heide GmbH,Y,Federal Republic of Germany,Pending,Y,2023-10-24 00:00:00,Y,Germany,DEU,pycountry,2023,10,24,Yes
153,157,ARB/23/48,"Klesch Group Holdings Limited, Klesch Refining Denmark A/S and Kalundborg Refinery A/S",Y,Kingdom of Denmark,Pending,Y,2023-10-24 00:00:00,Y,Denmark,DNK,pycountry,2023,10,24,Yes
154,158,ARB/23/47,Azienda Elettrica Ticinese,Y,Federal Republic of Germany,Pending,Y,2023-10-20 00:00:00,Y,Germany,DEU,pycountry,2023,10,20,No
155,159,ARB/23/46,Libra LLC and others,Y,Republic of Azerbaijan,Pending,Y,2023-10-16 00:00:00,Y,Azerbaijan,AZE,pycountry,2023,10,16,No
156,160,ARB/23/45,Mirian G. Dekanoidze and T.G. Trade LLC,Y,Georgia,Pending,Y,2023-10-03 00:00:00,Y,Georgia,GEO,pycountry,2023,10,3,No
157,161,ARB/23/44,Elsewedy Electric for Transmission and Distribution of Energy S.A.E.,Y,Republic of South Sudan,Pending,Y,2023-09-28 00:00:00,Y,South Sudan,SSD,pycountry,2023,9,28,No
158,162,ARB/23/43,Fernando Paiz Andrade and Anabella Schloesser de León de Paiz,Y,Republic of Honduras,Pending,Y,2023-09-13 00:00:00,Y,Honduras,HND,pycountry,2023,9,13,No
159,163,ARB/23/42,"Palmerola International Airport, S.A. de C.V.",Y,Republic of Honduras,Concluded,Y,2023-09-12 00:00:00,Y,Honduras,HND,pycountry,2023,9,12,No
160,164,CONC/23/1,"APM Terminals Management Barcelona, S.L.U.",Y,Republic of Guatemala,Concluded,Y,2023-09-08 00:00:00,Y,Guatemala,GTM,pycountry,2023,9,8,No
161,165,ARB/23/41,"Banesco Holding Latinoamérica, S.A. and Banesco (Panamá), S.A.",Y,Republic of Panama,Concluded,Y,2023-09-08 00:00:00,Y,Panama,PAN,pycountry,2023,9,8,No
162,166,ARB/23/40,"Inversiones y Desarrollos Energéticos, S.A.",Y,Republic of Honduras,Pending,Y,2023-08-30 00:00:00,Y,Honduras,HND,pycountry,2023,8,30,No
163,167,ARB/23/39,"Abertis Infraestructuras, S.A.",Y,Argentine Republic,Pending,Y,2023-08-29 00:00:00,Y,Argentina,ARG,pycountry,2023,8,29,No
164,168,ARB/23/38,Afriland First Group SA and others,Y,Democratic Republic of the Congo,Pending,Y,2023-08-28 00:00:00,Y,Congo,COG,embedded_pycountry,2023,8,28,No
165,169,ARB/23/37,TV Azteca S.A.B de C.V. and Azteca Comunicaciones Perú S.A.C.,Y,Republic of Peru,Pending,Y,2023-08-23 00:00:00,Y,Peru,PER,pycountry,2023,8,23,No
166,170,ARB/23/36,Güriş İnşaat ve Mühendislik Anonim Şirketi,Y,Kingdom of Saudi Arabia,Pending,Y,2023-08-21 00:00:00,Y,Saudi Arabia,SAU,pycountry,2023,8,21,No
167,171,ARB/23/35,Amadeus Group and Amadeus Development DOOEL,Y,Republic of North Macedonia,Pending,Y,2023-08-18 00:00:00,Y,North Macedonia,MKD,pycountry,2023,8,18,No
168,172,ARB/23/34,Groupe Pizzorno Environnement,Y,Kingdom of Morocco,Concluded,Y,2023-08-11 00:00:00,Y,Morocco,MAR,pycountry,2023,8,11,No
169,173,ARB/23/33,"Cyrus Capital Partners, L.P. and Contrarian Capital Management, LLC",Y,United Mexican States,Pending,Y,2023-08-11 00:00:00,Y,Mexico,MEX,pycountry,2023,8,11,No
170,174,ARB/23/32,BA Desarrollos LLC,Y,Argentine Republic,Pending,Y,2023-08-04 00:00:00,Y,Argentina,ARG,pycountry,2023,8,4,No
171,175,ARB/23/31,FCL Ambiente S.r.l.,Y,Republic of North Macedonia,Pending,Y,2023-07-31 00:00:00,Y,North Macedonia,MKD,pycountry,2023,7,31,No
172,176,ARB/23/30,"United Agencies Limited SA, Mediterranean Shipping Company Algérie SARL and Maghrebine des Transports & Auxiliaires SARL",Y,People’s Democratic Republic of Algeria,Pending,Y,2023-07-26 00:00:00,Y,Algeria,DZA,embedded_pycountry,2023,7,26,No
173,177,ARB/23/29,Mario Noriega Willars,Y,United Mexican States,Pending,Y,2023-07-21 00:00:00,Y,Mexico,MEX,pycountry,2023,7,21,No
174,178,ARB/23/28,First Majestic Silver Corp.,Y,United Mexican States,Concluded,Y,2023-07-21 00:00:00,Y,Mexico,MEX,pycountry,2023,7,21,Yes
175,180,ARB/23/27,"Highbury International AVV, Compañía Minera de Bajo Caroní AVV, and Ramstein Trading Inc.",Y,Bolivarian Republic of Venezuela,Pending,Y,2023-07-21 00:00:00,Y,"Venezuela, Bolivarian Republic of",VEN,pycountry,2023,7,21,Yes
176,181,ARB/23/26,Brian Malcolm Thomson and Pennyroyal Limited,Y,United Republic of Tanzania,Pending,Y,2023-07-20 00:00:00,Y,"Tanzania, United Republic of",TZA,pycountry,2023,7,20,No
177,182,ARB/23/25,"Arbor Confections Inc., Mark Alan Ducorsky and Brad Ducorsky",Y,United Mexican States,Pending,Y,2023-07-20 00:00:00,Y,Mexico,MEX,pycountry,2023,7,20,No
178,183,ARB/23/24,"Silver Bull Resources, Inc.",Y,United Mexican States,Pending,Y,2023-07-20 00:00:00,Y,Mexico,MEX,pycountry,2023,7,20,Yes
179,184,ARB/23/23,Basel LLC and Ronald Waldmann,Y,Georgia,Pending,Y,2023-06-26 00:00:00,Y,Georgia,GEO,pycountry,2023,6,26,No
180,185,ARB/23/22,"Enerflex US Holdings Inc. and Exterran Energy Solutions, L.P.",Y,United Mexican States,Concluded,Y,2023-06-23 00:00:00,Y,Mexico,MEX,pycountry,2023,6,23,Yes
181,186,ARB/23/21,Gruppo Officine Piccini S.p.A.,Y,Republic of Cameroon,Pending,Y,2023-06-08 00:00:00,Y,Cameroon,CMR,pycountry,2023,6,8,No
182,187,ARB/23/20,"AVZ International Pty Ltd., Dathcom Mining SA and Green Lithium Holdings Pte Ltd.",Y,Democratic Republic of the Congo,Pending,Y,2023-06-08 00:00:00,Y,Congo,COG,embedded_pycountry,2023,6,8,Yes
183,188,ARB/23/19,"Korea National Oil Corporation, KNOC Nigerian West Oil Company Limited, and KNOC Nigerian East Oil Company Limited",Y,Federal Republic of Nigeria,Pending,Y,2023-06-08 00:00:00,Y,Nigeria,NGA,pycountry,2023,6,8,Yes
184,189,ARB/23/18,"Zenith Energy Africa Ltd., Zenith Overseas Assets Ltd. and Compagnie du Désert Ltd.",Y,Republic of Tunisia,Pending,Y,2023-06-05 00:00:00,Y,Tunisia,TUN,pycountry,2023,6,5,Yes
185,190,ARB/23/17,Juan Carlos Arguello and Ernesto Arguello,Y,Republic of Honduras,Pending,Y,2023-05-23 00:00:00,Y,Honduras,HND,pycountry,2023,5,23,No
186,191,ARB/23/16,"Kurt Harald Grüninger, Alexandra Grüninger, and Sascha Spittel",Y,Republic of Costa Rica,Pending,Y,2023-05-17 00:00:00,Y,Costa Rica,CRI,pycountry,2023,5,17,No
187,192,ARB/23/15,Access Business Group LLC,Y,United Mexican States,Concluded,Y,2023-05-15 00:00:00,Y,Mexico,MEX,pycountry,2023,5,15,No
188,193,UNCT/23/2,Westmoreland Coal Company,Y,Canada,Concluded,Y,2023-04-05 00:00:00,Y,Canada,CAN,pycountry,2023,4,5,Yes
189,194,ADM/23/1,PowerChina HuaDong Engineering Corporation and China Railway 18th Bureau Group Company Ltd,Y,Socialist Republic of Viet Nam,Pending,Y,2023-02-01 00:00:00,Y,Viet Nam,VNM,pycountry,2023,2,1,No
190,195,ARB/23/14,Suntech Power International Ltd.,Y,Italian Republic,Pending,Y,2023-04-27 00:00:00,Y,Italy,ITA,pycountry,2023,4,27,No
191,196,ARB/23/13,Norfund and KLP Norfund Investments AS,Y,Republic of Honduras,Concluded,Y,2023-04-21 00:00:00,Y,Honduras,HND,pycountry,2023,4,21,No
192,197,ARB/23/12,Scatec ASA,Y,Republic of Honduras,Concluded,Y,2023-04-21 00:00:00,Y,Honduras,HND,pycountry,2023,4,21,No
193,198,ARB/23/11,Operadora Ecológica del Titicaca S.A.C.,Y,Republic of Peru,Pending,Y,2023-04-21 00:00:00,Y,Peru,PER,pycountry,2023,4,21,No
194,199,UNCT/23/1,Amerra Capital Management LLC and others,Y,United Mexican States,Pending,Y,2023-01-19 00:00:00,Y,Mexico,MEX,pycountry,2023,1,19,No
195,200,ARB/23/10,"Autopistas del Atlántico, S.A. de C.V. and others",Y,Republic of Honduras,Pending,Y,2023-04-12 00:00:00,Y,Honduras,HND,pycountry,2023,4,12,No
196,201,ARB/23/9,EMS Shipping & Trading GmbH,Y,Republic of Albania,Concluded,Y,2023-04-07 00:00:00,Y,Albania,ALB,pycountry,2023,4,7,No
197,202,ARB/23/8,China Machinery Engineering Corporation,Y,Republic of Trinidad and Tobago,Pending,Y,2023-04-06 00:00:00,Y,Trinidad and Tobago,TTO,pycountry,2023,4,6,No
198,203,ARB/23/7,SIA Baltjura-Serviss,Y,Kingdom of Norway,Concluded,Y,2023-03-21 00:00:00,Y,Norway,NOR,pycountry,2023,3,21,No
199,204,ARB/23/6,Sepadeve International LLC,Y,United Mexican States,Concluded,Y,2023-03-10 00:00:00,Y,Mexico,MEX,pycountry,2023,3,10,No
200,205,ARB/23/5,Ruby River Capital LLC,Y,Canada,Pending,Y,2023-03-09 00:00:00,Y,Canada,CAN,pycountry,2023,3,9,Yes
201,206,ARB/23/4,"Goldgroup Resources, Inc.",Y,United Mexican States,Pending,Y,2023-03-02 00:00:00,Y,Mexico,MEX,pycountry,2023,3,2,Yes
202,207,ADM/21/1,AsiaPhos Limited and Norwest Chemicals Pte Ltd,Y,People’s Republic of China,Concluded,Y,2020-08-07 00:00:00,Y,China,CHN,embedded_pycountry,2020,8,7,Yes
203,208,ARB/23/3,"JLL Capital, S.A.P.I. de C.V.",Y,Republic of Honduras,Pending,Y,2023-02-13 00:00:00,Y,Honduras,HND,pycountry,2023,2,13,No
204,209,ARB/23/2,"Honduras Próspera Inc., St. John’s Bay Development Company LLC, and Próspera Arbitration Center LLC",Y,Republic of Honduras,Pending,Y,2023-02-03 00:00:00,Y,Honduras,HND,pycountry,2023,2,3,No
205,210,ARB/23/1,"Canal Extensia, S.A.U.",Y,Republic of Colombia,Pending,Y,2023-01-13 00:00:00,Y,Colombia,COL,pycountry,2023,1,13,No
206,211,ARB/22/34,Naftiran Intertrade Co. (NICO) Limited,Y,Kingdom of Bahrain,Pending,Y,2022-12-16 00:00:00,Y,Bahrain,BHR,pycountry,2022,12,16,No
207,212,ARB/22/33,Towra SA-SPF,Y,Republic of Slovenia,Pending,Y,2022-12-05 00:00:00,Y,Slovenia,SVN,pycountry,2022,12,5,No
208,213,ARB/22/32,Astronergy Solar Netherlands B.V.,Y,Republic of Bulgaria,Concluded,Y,2022-12-02 00:00:00,Y,Bulgaria,BGR,pycountry,2022,12,2,No
209,214,ARB(AF)/22/7,PowerChina HuaDong Engineering Corporation and China Railway 18th Bureau Group Company Ltd,Y,Socialist Republic of Viet Nam,Pending,Y,2022-11-29 00:00:00,Y,Viet Nam,VNM,pycountry,2022,11,29,No
210,215,ARB/22/31,UAB Arctic Fishing,Y,Kingdom of Norway,Concluded,Y,2022-11-21 00:00:00,Y,Norway,NOR,pycountry,2022,11,21,No
211,216,ARB/22/30,Bank of Nova Scotia,Y,Republic of Peru,Pending,Y,2022-11-15 00:00:00,Y,Peru,PER,pycountry,2022,11,15,No
212,217,ARB/22/29,Vasilisa Ershova and Jegor Jeršov,Y,Republic of Bulgaria,Pending,Y,2022-11-11 00:00:00,Y,Bulgaria,BGR,pycountry,2022,11,11,Yes
213,218,ARB/22/28,"Suffolk (Mauritius) Limited, Mansfield (Mauritius) Limited and Silver Point Mauritius",Y,Portuguese Republic,Pending,Y,2022-11-11 00:00:00,Y,Portugal,PRT,pycountry,2022,11,11,No
214,219,ARB/22/27,Cameroon Oil Transportation Company S.A.,Y,Republic of Cameroon,Pending,Y,2022-11-11 00:00:00,Y,Cameroon,CMR,pycountry,2022,11,11,Yes
215,220,ARB(AF)/22/6,Nacato N.V. and others,Y,Bolivarian Republic of Venezuela,Pending,Y,2022-10-26 00:00:00,Y,"Venezuela, Bolivarian Republic of",VEN,pycountry,2022,10,26,No
216,221,ARB/22/26,Yoram Moussaieff,Y,Republic of Panama,Concluded,Y,2022-09-20 00:00:00,Y,Panama,PAN,pycountry,2022,9,20,No
217,222,ARB/22/25,"International Mining Company Invest, Inc.",Y,Kyrgyz Republic,Pending,Y,2022-09-19 00:00:00,Y,Kyrgyzstan,KGZ,alias,2022,9,19,Yes
218,223,ARB/22/24,Doups Holdings LLC,Y,United Mexican States,Pending,Y,2022-09-14 00:00:00,Y,Mexico,MEX,pycountry,2022,9,14,No
219,224,ARB/22/23,Tayeb Benabderrahmane,Y,State of Qatar,Pending,Y,2022-09-14 00:00:00,Y,Qatar,QAT,pycountry,2022,9,14,No
220,225,ARB/22/22,Encavis AG and others,Y,French Republic,Concluded,Y,2022-09-02 00:00:00,Y,France,FRA,pycountry,2022,9,2,No
221,226,ARB/22/21,Ascent Resources Plc and Ascent Slovenia Ltd,Y,Republic of Slovenia,Pending,Y,2022-09-01 00:00:00,Y,Slovenia,SVN,pycountry,2022,9,1,Yes
222,227,ARB(AF)/22/5,José Alejandro Hernández Contreras,Y,Republic of Costa Rica,Concluded,Y,2022-08-26 00:00:00,Y,Costa Rica,CRI,pycountry,2022,8,26,No
223,228,ARB(AF)/22/4,RTI Rotalin Gas Trading AG and Rotalin Gaz Trading S.R.L.,Y,Republic of Moldova,Pending,Y,2022-08-03 00:00:00,Y,"Moldova, Republic of",MDA,pycountry,2022,8,3,Yes
224,229,ARB(AF)/22/3,"Fábrica de Vidrio Los Andes, C.A. and Owens-Illinois de Venezuela, C.A.",Y,Bolivarian Republic of Venezuela,Concluded,Y,2022-07-27 00:00:00,Y,"Venezuela, Bolivarian Republic of",VEN,pycountry,2022,7,27,No
225,230,ARB/22/20,PCCW Cascade (Middle East) Ltd.,Y,Kingdom of Saudi Arabia,Pending,Y,2022-07-26 00:00:00,Y,Saudi Arabia,SAU,pycountry,2022,7,26,No
226,231,UNCT/20/6,Theodore D. Einarsson and others,Y,Canada,Pending,Y,2020-10-27 00:00:00,Y,Canada,CAN,pycountry,2020,10,27,No
228,233,ARB/22/18,Digicel (Singapore) Private Limited,Y,Independent State of Papua New Guinea,Concluded,Y,2022-07-06 00:00:00,Y,Papua New Guinea,PNG,pycountry,2022,7,6,No
229,234,ARB/22/17,Comercializadora Mediterránea de Viviendas S.L.,Y,Kingdom of Morocco ,Pending,Y,2022-06-27 00:00:00,Y,Morocco,MAR,pycountry,2022,6,27,No
230,235,ARB/22/16,Ozkartallar Inşaat Sanayi Ve Ticaret A.S. and Campak Temizlik Bilgi Işlem Otomasyon Saglik Hizmetleri Iletişim Sanayi Ve Ticaret A.S.,Y,Islamic Republic of Pakistan,Concluded,Y,2022-06-21 00:00:00,Y,Pakistan,PAK,pycountry,2022,6,21,No
231,236,ARB/22/15,Plaza Centers N.V.,Y,Romania,Concluded,Y,2022-06-03 00:00:00,Y,Romania,ROU,pycountry,2022,6,3,No
232,237,ARB(AF)/22/2,SGO Corporation Limited,Y,Bolivarian Republic of Venezuela,Pending,Y,2022-06-02 00:00:00,Y,"Venezuela, Bolivarian Republic of",VEN,pycountry,2022,6,2,No
233,238,ARB/22/14,"Coropi Holdings Limited, Kalemegdan Investments Limited and Erinn Bernard Broshko",Y,Republic of Serbia,Pending,Y,2022-05-27 00:00:00,Y,Serbia,SRB,pycountry,2022,5,27,No
234,239,ARB(AF)/22/1,"Sargeant Petroleum, LLC",Y,Dominican Republic,Pending,Y,2022-05-17 00:00:00,Y,Dominican Republic,DOM,pycountry,2022,5,17,No
235,240,ARB/22/13,Aderlyne Limited,Y,Romania,Pending,Y,2022-05-03 00:00:00,Y,Romania,ROU,pycountry,2022,5,3,No
236,241,ARB/22/12,WOC Photovoltaik Portfolio GmbH & Co. KG and others,Y,Kingdom of Spain,Pending,Y,2022-04-05 00:00:00,Y,Spain,ESP,pycountry,2022,4,5,No
237,242,ARB/22/11,CB&I UK Limited,Y,Republic of Colombia,Concluded,Y,2022-04-05 00:00:00,Y,Colombia,COL,pycountry,2022,4,5,Yes
238,243,ARB/22/10,Clara Petroleum Ltd,Y,Romania,Pending,Y,2022-04-01 00:00:00,Y,Romania,ROU,pycountry,2022,4,1,Yes
239,244,ARB/22/9,Addiko Bank AG,Y,Republic of Slovenia,Concluded,Y,2022-03-30 00:00:00,Y,Slovenia,SVN,pycountry,2022,3,30,No
240,245,ARB/22/8,GMS Ventures and Investment Holdings Co. LLC/Jordan (Exempt) and GMS Ventures and Investments Holdings Company – Jordan (Free Zones),Y,Republic of Iraq ,Pending,Y,2022-03-30 00:00:00,Y,Iraq,IRQ,pycountry,2022,3,30,No
241,246,ARB/22/7,Primesouth International Offshore S.A.L.,Y,Republic of Iraq,Pending,Y,2022-03-04 00:00:00,Y,Iraq,IRQ,pycountry,2022,3,4,No
242,247,UNCT/18/6,Sacyr S.A.,Y,Republic of Panama,Concluded,Y,2018-08-03 00:00:00,Y,Panama,PAN,pycountry,2018,8,3,No
243,248,ARB/22/6,"Consolidated Water Coöperatief, U.A.",Y,United Mexican States ,Concluded,Y,2022-02-22 00:00:00,Y,Mexico,MEX,pycountry,2022,2,22,No
244,249,ARB/22/5,Samson Wu,Y,Republic of Panama,Concluded,Y,2022-02-14 00:00:00,Y,Panama,PAN,pycountry,2022,2,14,No
246,251,ARB/22/3,"Corporación Nacional del Cobre de Chile, Exploraciones Mineras Andinas S.A. and Inversiones Copperfield SPA",Y,Republic of Ecuador,Pending,Y,2022-01-25 00:00:00,Y,Ecuador,ECU,pycountry,2022,1,25,Yes
247,252,ARB/22/2,"Huawei Technologies Co., Ltd.",Y,Kingdom of Sweden,Pending,Y,2022-01-21 00:00:00,Y,Sweden,SWE,pycountry,2022,1,21,No
248,253,ARB/22/1,Louis Claude Norland Suzor and SBEC Systems Limited,Y,Republic of Senegal,Concluded,Y,2022-01-05 00:00:00,Y,Senegal,SEN,pycountry,2022,1,5,No
249,254,ARB/21/66,Christopher Jock Murdoch MacKenzie,Y,Hungary ,Concluded,Y,2021-12-23 00:00:00,Y,Hungary,HUN,pycountry,2021,12,23,No
250,255,ARB/21/65,Enagás Internacional S.L.U.,Y,Republic of Peru,Pending,Y,2021-12-23 00:00:00,Y,Peru,PER,pycountry,2021,12,23,Yes
251,256,ARB/21/64,Smart City Solutions Holdings Inc.,Y,Co-operative Republic of Guyana ,Pending,Y,2021-12-22 00:00:00,Y,Guyana,GUY,embedded_pycountry,2021,12,22,No
252,257,ARB/21/63,TC Energy Corporation and TransCanada Pipelines Limited,Y,United States of America,Concluded,Y,2021-12-22 00:00:00,Y,United States,USA,pycountry,2021,12,22,Yes
253,258,ARB/21/62,AGEM Ltd,Y,Republic of Mali,Concluded,Y,2021-12-20 00:00:00,Y,Mali,MLI,pycountry,2021,12,20,Yes
254,259,ARB/21/61,"Enel, S.p.A.",Y,Republic of Türkiye,Concluded,Y,2021-12-10 00:00:00,Y,Türkiye,TUR,pycountry,2021,12,10,No
255,260,ARB/21/60,VINCI Highways SAS and VINCI Concessions SAS,Y,Republic of Peru,Pending,Y,2021-12-10 00:00:00,Y,Peru,PER,pycountry,2021,12,10,No
256,261,ARB/21/59,Grupo Energía Bogotá S.A. E.S.P. and Transportadora de Energía de Centroamérica S.A.,Y,Republic of Guatemala,Concluded,Y,2021-12-09 00:00:00,Y,Guatemala,GTM,pycountry,2021,12,9,No
257,263,ARB/21/58,Congo Mining Ltd SARLU and Midus Holdings Limited,Y,Republic of Congo,Pending,Y,2021-12-08 00:00:00,Y,Congo,COG,embedded_pycountry,2021,12,8,Yes
258,264,ARB/21/57,"Metro de Lima Línea 2, S.A.",Y,Republic of Peru,Pending,Y,2021-12-06 00:00:00,Y,Peru,PER,pycountry,2021,12,6,No
259,265,ARB/21/56,"Energía y Renovación Holding, S.A.",Y,Republic of Guatemala,Pending,Y,2021-11-15 00:00:00,Y,Guatemala,GTM,pycountry,2021,11,15,No
260,268,ARB/21/55,"L1bre Holding, LLC",Y,United Mexican States,Concluded,Y,2021-11-15 00:00:00,Y,Mexico,MEX,pycountry,2021,11,15,No
261,269,ARB/21/54,KELAG-Kärntner Elektrizitäts-Aktiengesellschaft and others,Y,Romania,Pending,Y,2021-11-01 00:00:00,Y,Romania,ROU,pycountry,2021,11,1,No
262,270,ARB/21/53,EEPL Holdings,Y,Republic of Congo,Pending,Y,2021-10-29 00:00:00,Y,Congo,COG,embedded_pycountry,2021,10,29,Yes
263,271,ARB/21/52,SREW N.V.,Y,Ukraine,Concluded,Y,2021-10-28 00:00:00,Y,Ukraine,UKR,pycountry,2021,10,28,No
264,272,ARB/21/51,Discovery Global LLC,Y,Slovak Republic,Concluded,Y,2021-10-22 00:00:00,Y,Slovakia,SVK,pycountry,2021,10,22,Yes
265,273,ARB/21/50,"Heidelberg Materials AG (formerly HeidelbergCement AG), Heidelberg Materials France S.A.S. (formerly HeidelbergCement France S.A.S.) and Heidelberg Materials Italia Cementi S.P.A. (formerly Italcementi S.P.A.)",Y,Arab Republic of Egypt,Pending,Y,2021-10-18 00:00:00,Y,Egypt,EGY,pycountry,2021,10,18,No
266,274,ARB/21/49,Enel Colombia S.A. (formerly ESSA2 SpA) and Enel Costa Rica CAM S.A. (formerly Enel Green Power Costa Rica S.A.),Y,Republic of Costa Rica,Concluded,Y,2021-10-13 00:00:00,Y,Costa Rica,CRI,pycountry,2021,10,13,No
267,275,ARB/21/48,Bayındır İnşaat Turizm Ticaret ve Sanayi A.Ş.,Y,Islamic Republic of Pakistan,Pending,Y,2021-10-12 00:00:00,Y,Pakistan,PAK,pycountry,2021,10,12,No
268,276,ARB/21/47,PETRONAS International Corporation Ltd and Azhan Bin Ali ,Y,Republic of the Sudan,Concluded,Y,2021-10-07 00:00:00,Y,Sudan,SDN,pycountry,2021,10,7,No
269,277,ARB/21/46,HSBC Latin American Holdings (UK) Limited,Y,Republic of El Salvador,Pending,Y,2021-09-29 00:00:00,Y,El Salvador,SLV,pycountry,2021,9,29,No
270,278,ARB/21/45,"Concesionaria Peruana de Vías– COVINCA, S.A.",Y,Republic of Peru,Concluded,Y,2021-09-23 00:00:00,Y,Peru,PER,pycountry,2021,9,23,No
271,280,ARB/21/44,Finetis SARL and Finetis Maroc SA ,Y,Kingdom of Morocco ,Concluded,Y,2021-09-20 00:00:00,Y,Morocco,MAR,pycountry,2021,9,20,No
272,281,ARB/21/43,TS Villalba GmbH and others,Y,Kingdom of Spain,Concluded,Y,2021-09-16 00:00:00,Y,Spain,ESP,pycountry,2021,9,16,No
273,282,ARB/21/42,Qiong Ye and Jianping Yang,Y,Kingdom of Cambodia,Concluded,Y,2021-09-01 00:00:00,Y,Cambodia,KHM,pycountry,2021,9,1,No
274,283,ARB/21/41,"Metro de Lima Línea 2, S.A. ",Y,Republic of Peru,Pending,Y,2021-08-20 00:00:00,Y,Peru,PER,pycountry,2021,8,20,No
275,284,ARB/21/40,ADP International S.A. and Vinci Airports S.A.S.,Y,Republic of Chile,Concluded,Y,2021-08-13 00:00:00,Y,Chile,CHL,pycountry,2021,8,13,No
276,285,ARB/21/39,Spanish Solar 1 Limited and Spanish Solar 2 Limited,Y,Kingdom of Spain,Concluded,Y,2021-08-03 00:00:00,Y,Spain,ESP,pycountry,2021,8,3,No
277,286,ARB/21/38,Menankoto SARL,Y,Republic of Mali,Concluded,Y,2021-07-27 00:00:00,Y,Mali,MLI,pycountry,2021,7,27,Yes
278,287,ARB/21/37,True Blue Development Limited and others,Y,Grenada,Concluded,Y,2021-07-09 00:00:00,Y,Grenada,GRD,pycountry,2021,7,9,No
279,288,ARB/21/36,Alpene Ltd,Y,Republic of Malta,Pending,Y,2021-07-02 00:00:00,Y,Malta,MLT,pycountry,2021,7,2,No
280,289,ARB/21/35,Vicat S.A.,Y,Arab Republic of Egypt,Concluded,Y,2021-06-22 00:00:00,Y,Egypt,EGY,pycountry,2021,6,22,No
281,290,ARB/21/34,"IBT Group, LLC, IBT, LLC and Eurofinsa Concesiones e Inversiones, S.L.",Y,Republic of Panama,Pending,Y,2021-06-18 00:00:00,Y,Panama,PAN,pycountry,2021,6,18,No
282,291,ARB/21/33,Alamos Gold Holdings Coöperatief U.A. and Alamos Gold Holdings B.V.,Y,Republic of Türkiye,Pending,Y,2021-06-07 00:00:00,Y,Türkiye,TUR,pycountry,2021,6,7,Yes
283,292,ARB/21/32,Mehmet Zeki Obuz and others,Y,Republic of Uzbekistan,Pending,Y,2021-06-04 00:00:00,Y,Uzbekistan,UZB,pycountry,2021,6,4,No
284,293,ARB/21/31,Anglo American plc ,Y,Republic of Colombia,Concluded,Y,2021-06-02 00:00:00,Y,Colombia,COL,pycountry,2021,6,2,Yes
285,294,ARB/21/30,Glencore International A.G.,Y,Republic of Colombia,Pending,Y,2021-05-28 00:00:00,Y,Colombia,COL,pycountry,2021,5,28,Yes
286,295,ARB/21/29,"Kaloti Metals & Logistics, LLC",Y,Republic of Peru,Concluded,Y,2021-05-20 00:00:00,Y,Peru,PER,pycountry,2021,5,20,No
287,296,ARB/21/28,APM Terminals Callao S.A.,Y,Republic of Peru,Pending,Y,2021-05-19 00:00:00,Y,Peru,PER,pycountry,2021,5,19,No
288,298,ARB/21/27,Interconexión Eléctrica S.A. E.S.P. ,Y,Republic of Chile,Pending,Y,2021-05-17 00:00:00,Y,Chile,CHL,pycountry,2021,5,17,No
289,301,ARB/21/26,Mainstream Renewable Power Ltd and others,Y,Federal Republic of Germany,Concluded,Y,2021-05-13 00:00:00,Y,Germany,DEU,pycountry,2021,5,13,No
290,302,ARB/21/25,"Finley Resources Inc., MWS Management Inc., and Prize Permanent Holdings, LLC",Y,United Mexican States,Pending,Y,2021-05-12 00:00:00,Y,Mexico,MEX,pycountry,2021,5,12,Yes
291,303,ARB/21/24,World Natural Resources Ltd,Y,Republic of Congo,Pending,Y,2021-05-12 00:00:00,Y,Congo,COG,embedded_pycountry,2021,5,12,Yes
292,304,ARB/21/23,İmeks İnşaat Makina Elektrik Konstrüksiyon Sanayi Limited Şirketi,Y,Turkmenistan,Pending,Y,2021-05-05 00:00:00,Y,Turkmenistan,TKM,pycountry,2021,5,5,No
293,305,ARB/21/22,"Uniper SE, Uniper Benelux Holding B.V. and Uniper Benelux N.V.",Y,Kingdom of the Netherlands,Concluded,Y,2021-04-30 00:00:00,Y,Netherlands,NLD,pycountry,2021,4,30,No
294,306,ARB/21/21,"KGL International for Ports, Warehousing, and Transport K.S.C.C.",Y,Arab Republic of Egypt,Concluded,Y,2021-04-30 00:00:00,Y,Egypt,EGY,pycountry,2021,4,30,No
295,307,ARB/21/20,Visor Mühendislik İnşaat Turizm Gıda ve Mekanik Elektrik Taahhüt Ticaret Limited Şirketi and Gökhan Araslı,Y,Turkmenistan,Concluded,Y,2021-04-21 00:00:00,Y,Turkmenistan,TKM,pycountry,2021,4,21,No
296,308,ARB/21/19,Amir Masood Taheri,Y,United Arab Emirates,Concluded,Y,2021-04-21 00:00:00,Y,United Arab Emirates,ARE,pycountry,2021,4,21,No
297,309,ARB/21/18,AECI Mauritius Ltd,Y,Burkina Faso,Concluded,Y,2021-04-08 00:00:00,Y,Burkina Faso,BFA,pycountry,2021,4,8,Yes
