NO.,YEAR OF INITIATION,SHORT CASE NAME,FULL CASE NAME,APPLICABLE IIA,ARBITRAL RULES,ADMINISTERING INSTITUTION,STATUS/OUTCOME OF ORIGINAL PROCEEDINGS,RESPONDENT STATE,HOME STATE OF INVESTOR,ECONOMIC SECTOR,ECONOMIC SUBSECTOR,SUMMARY OF THE DISPUTE, DETAILS OF INVESTMENT,ARBITRATORS,DECISIONS,INDIVIDUAL OPINIONS DETAILS,AMOUNT CLAIMED (EXPRESSED IN MILLIONS),AMOUNT AWARDED (OR SETTLED FOR) (EXPRESSED IN MILLIONS),IIA BREACHES ALLEGED,IIA BREACHES FOUND,FOLLOW-ON PROCEEDING TYPE,FOLLOW-ON PROCEEDING STATUS,FOLLOW-ON DECISIONS,FOLLOW-ON INDIVIDUAL OPINIONS,ICSID ANNULMENT COMMITTEE MEMBERS,LINK TO ITALAW'S CASE PAGE,LINKS TO BACKGROUND SOURCES,CASE NO.,Summary,Notes,country_clean,country_iso3,extraction_method
96,2024,Orla Mining v. Panama,,,,,Pending,Panama,,Primary: B - Mining and quarrying ,7 - Mining of metal ores ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/27 ,"Investment: Mining concessions held through local subsidiary Minera Cerro Quema S.A. for the Cerro Quema Project, a gold and copper deposit located in the Los Santos Province in southwestern Panama.

Summary: Claims arising out of the Government’s cancellation of mining concessions held by the claimant’s subsidiary for the Cerro Quema Project, which includes a pre-feasibility-stage, open-pit, heap leach gold project as well as a copper-gold sulphide resource.",,,,
97,2024,Petaquilla Minerals v. Panama,,,,,Pending,Panama,,Primary: B - Mining and quarrying ,7 - Mining of metal ores ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/12 ,"Investment: Ownership of local subsidiary, Petaquilla Gold S.A., holding a concession for the Molejón gold mine.

Summary: Claims arising out of the Government’s 2015 cancellation of the gold mining concession for the Molejón project held by the claimant’s local subsidiary.",,,,
98,2024,Qucomhaps and others v. Czechia,,,,,Pending,Czechia,,Secondary: C - Manufacturing ,30 - Manufacture of other transport equipment ,,,,Data not available,,,,,,,,Data not available,,,,,,"Investment:

Summary: Claims arising out of the Government’s alleged interference with the claimants’ business project, including actions of law enforcement authorities, insolvency courts and the insolvency administrator.",,,,
99,2024,Riversdale and Hancock v. Canada,,,,,Pending,Canada,,Primary: B - Mining and quarrying ,5 - Mining of coal and lignite ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/50 ,"Investment:

Summary:",,,,
100,2024,Rome Resources and IM v. Mozambique,,,,,Settled,Mozambique,,Primary: B - Mining and quarrying ,7 - Mining of metal ores ,,,,Award embodying the parties’ settlement agreement dated 30 April 2025,,,,,,,,Data not available,,,,,ARB/24/4 ,"Investment: Shareholding (99,99%) in local subsidiary Companhia Mineira de Nabúri SA with mining concessions for the Naburi and Moebase mineral sands deposits.

Summary: Claims arising out of the Government’s alleged actions and omissions relating to the disputed transfer of mining concession 4623C from the claimants’ wholly-owned local subsidiary to another company without the claimants’ consent.",,,,
101,2024,Sarama v. Burkina Faso,,,,,Pending,Burkina Faso,,Primary: B - Mining and quarrying ,7 - Mining of metal ores ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/51 ,"Investment:

Summary:",,,,
102,2024,Sauna UK BidCo v. Finland,,,,,Pending,Finland,,"Tertiary: D - Electricity, gas, steam and air conditioning supply ","35 - Electricity, gas, steam and air conditioning supply ",,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/38 ,"Investment:

Summary:",,,,
103,2024,Silhy Zacarías v. Honduras,,,,,Pending,Honduras,,"Tertiary: D - Electricity, gas, steam and air conditioning supply ","35 - Electricity, gas, steam and air conditioning supply ",,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/32 ,"Investment: Investment in a renewable energy generation enterprise.

Summary:",,,,
104,2024,Spentech Engineering v. United Arab Emirates,,,,,Decided in favour of State,United Arab Emirates,,Tertiary: F - Construction ,41 - Construction of buildings ,,,,Award dated 28 July 2025,,,,,,,,,,,,,ARB/24/16 ,"Investment: Contracts for several construction projects signed with the Embassy of the United Arab Emirates in Mogadishu, including army barracks and a hospital.

Summary: Claims arising out of alleged misconduct by government officials related to construction contracts between the claimant and the Embassy of the United Arab Emirates in Mogadishu.",,,,
105,2024,Stratius v. Hungary,,,,,Pending,Hungary,,"Tertiary: D - Electricity, gas, steam and air conditioning supply ","35 - Electricity, gas, steam and air conditioning supply ",,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/6 ,"Investment:

Summary:",,,,
106,2024,Suomi Power and others v. Finland,,,,,Pending,Finland,,"Tertiary: D - Electricity, gas, steam and air conditioning supply ","35 - Electricity, gas, steam and air conditioning supply ",,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/37 ,"Investment:

Summary:",,,,
107,2024,TMA Australia others v. Philippines,,,,,Pending,Philippines,,Secondary: C - Manufacturing ,17 - Manufacture of paper and paper products,,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/41 ,"Investment:

Summary:",,,,
108,2024,Unión de Cervecerías and others v. Peru,,,,,Pending,Peru,,Secondary: C - Manufacturing ,11 - Manufacture of beverages ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/53 ,"Investment:

Summary:",,,,
109,2024,Vedanta v. India (II),,,,,Pending,India,,Primary: B - Mining and quarrying ,7 - Mining of metal ores ,,,,Data not available,,,,,,,,Data not available,,,,,,"Investment:

Summary:",(PCA Case No. 2024-43) ,,,
110,2024,Volga-Dnepr Airlines v. Canada,,,,,Pending,Canada,,Tertiary: H - Transportation and storage ,51 - Air transport ,,,,Order on Bifurcation dated 9 August 2025,,,,,,,,Data not available,,,,,,"Investment: Investment in an air transportation business for cargo delivery.

Summary: Claims arising out of Government authorities’ alleged illegal seizure of the claimant’s aircraft and other government measures imposed on the claimant in the context of sanctions against the Russian Federation, allegedly expropriating the claimant’s business.",(PCA Case No. 2025-09) ,,,
111,2024,Walnort Finance v. Armenia,,,,,Pending,Armenia,,Primary: B - Mining and quarrying ,7 - Mining of metal ores ,,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/20 ,"Investment: Minority interest in Zangezur Copper and Molybdenum Combine (“ZCMC”), a mining company.

Summary: Claims arising out of the Government’s alleged actions to prevent the claimant from exercising shareholder rights in mining company ZCMC.",,,,
112,2024,Warburg and others v. Poland,,,,,Pending,Poland,,Tertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles ,"47 - Retail trade, except of motor vehicles and motorcycles ",,,,Data not available,,,,,,,,Data not available,,,,,ARB(AF)/24/2 ,"Investment: Investment in the Gemini Group of pharmaceutical companies in Poland, including retail operations and franchise.

Summary:",,,,
113,2024,Wintershall v. Russia (I),,,,,Pending,Russia,,Primary: B - Mining and quarrying ,6 - Extraction of crude petroleum and natural gas ,,,,Data not available,,,,,,,,Data not available,,,,,,"Investment:

Summary:",,,,
114,2024,Wintershall v. Russia (II),,,,,Pending,Russia,,Primary: B - Mining and quarrying ,6 - Extraction of crude petroleum and natural gas ,,,,Data not available,,,,,,,,Data not available,,,,,,"Investment:

Summary:",(PCA Case No. 2024-42) ,,,
115,2024,X-Elio v. Honduras,,,,,Pending,Honduras,,"Tertiary: D - Electricity, gas, steam and air conditioning supply ","35 - Electricity, gas, steam and air conditioning supply ",,,,Data not available,,,,,,,,Data not available,,,,,ARB/24/31 ,"Investment: Investment in a renewable energy generation enterprise.

Summary:",,,,
116,2024,Yaw v. Poland,,,,,Pending,Poland,,Primary: B - Mining and quarrying ,5 - Mining of coal and lignite ,,,,Data not available,,,,,,,,Data not available,,,,,,"Investment: Investment in a coal mining project through a shareholding in Balamara Resources Limited.

Summary:",,,,
117,2024,Zeph v. Australia (III),,,,,Pending,Australia,,Primary: B - Mining and quarrying ,5 - Mining of coal and lignite ,,,,Data not available,,,,,,,,Data not available,,,,,,"Investment: Investment in the Galilee Coal Project.

Summary: Claims arising out of a Queensland Land Court recommendation and subsequent decisions of the Queensland Government to refuse an application by Waratah Coal for a mining lease and environmental authority for activities in Queensland’s Galilee Basin.",(PCA Case No. 2024-23) ,,,
118,2024,Zeph v. Australia (IV),,,,,Pending,Australia,,"Tertiary: D - Electricity, gas, steam and air conditioning supply ","35 - Electricity, gas, steam and air conditioning supply ",,,,Data not available,,,,,,,,Data not available,,,,,,"Investment: Investment in the Jericho Power Station project.

Summary: Claims arising out of decisions of the Queensland Government to refuse environmental authority and development approval for a proposed coal-fired power plant as part of Waratah Coal’s Galilee Coal Project.",(PCA Case No. 2024-48) ,,,
